CustomerID,TransactionDate,TransactionType,Description,Amount
9979,2023-08-01,Fee,Ground democratic customer we.,1402.78
9979,2021-05-13,Payment,Job character indeed international easy whole.,-1870.65
9979,2023-08-17,Transfer,Suddenly huge finish arrive.,-18.96
18236,2024-11-24,Withdrawal,Resource player purpose several two.,-36.63
18236,2024-12-30,Payment,Whose such eye conference decade itself.,-981.79
18236,2024-07-22,Deposit,Cup show structure mouth.,-1905.7
18236,2024-03-08,Payment,Green surface go.,-1806.74
18236,2025-02-06,Fee,Future music firm my area chance.,124.78
18236,2020-12-04,Transfer,Focus car pretty pull.,49.34
18236,2024-11-07,Withdrawal,Begin successful like.,-273.24
18236,2021-03-12,Transfer,Free trial company resource garden room.,901.34
18236,2023-12-06,Withdrawal,Cup discover world eye card financial.,1535.24
18236,2022-02-05,Fee,Save perform my kitchen.,1208.7
18236,2022-09-08,Deposit,Woman former agent production section.,-1252.61
18236,2025-03-13,Payment,Maintain outside guy create knowledge only.,-1912.25
18236,2023-01-30,Payment,Continue nation brother service five officer.,-1848.37
18236,2023-02-01,Deposit,Practice also sense blue response space nation.,-104.44
18236,2021-12-31,Withdrawal,Will attack along town why.,-122.23
18236,2021-03-01,Transfer,Would majority seek.,1391.5
18236,2024-05-18,Withdrawal,Determine character rich.,988.29
18236,2023-01-31,Fee,Born skin fight.,-395.68
18236,2023-08-04,Transfer,Least fight son under catch health.,1202.04
18236,2021-11-15,Deposit,Enter drive relate even.,-1402.62
18236,2025-03-03,Deposit,His write report development friend mission.,-136.49
18236,2021-02-12,Fee,Many head him late plant serious.,847.04
18236,2025-02-22,Deposit,Party several form.,168.77
18236,2023-01-22,Withdrawal,Authority data attention between.,810.31
18236,2022-05-14,Deposit,Sea must well experience their structure.,1535.57
18236,2022-08-27,Payment,Election number any.,-905.24
18236,2022-07-01,Transfer,Situation or set.,-797.31
18236,2022-06-29,Deposit,Boy force local future discuss media.,1929.63
25372,2024-12-05,Fee,Image performance night.,-1344.46
25372,2022-02-08,Withdrawal,Read successful notice.,1080.02
25372,2024-01-29,Fee,Morning group fire speech.,-1170.2
25372,2022-12-04,Withdrawal,Worker chance door.,-136.94
25372,2024-04-30,Withdrawal,Building phone land individual.,-1339.58
25372,2025-02-21,Fee,Law civil success happy I.,-1570.54
25372,2023-10-28,Payment,Center hair somebody cover.,-155.39
25372,2024-11-12,Deposit,Artist indeed director start cost.,1415.5
25372,2023-08-19,Payment,Total garden turn culture happen.,-1489.78
25372,2023-11-30,Payment,Statement travel fear.,-484.43
25372,2022-09-08,Fee,Above stay quite.,395.64
25372,2024-02-13,Deposit,Nation season produce.,-1538.78
43987,2022-04-25,Withdrawal,Popular agency subject meet him.,1791.33
43987,2023-06-03,Payment,Too company place relate send.,1874.61
43987,2020-06-15,Payment,Recognize voice lot successful.,1862.18
43987,2021-12-27,Withdrawal,So kind paper guess seek.,111.55
43987,2022-07-15,Withdrawal,Note mind relate pretty.,1163.99
43987,2020-11-09,Transfer,Politics individual office.,1252.58
43987,2024-08-10,Fee,Girl defense identify throw enter sense.,-1995.06
43987,2022-10-07,Withdrawal,Require current take true yeah.,1302.82
43987,2023-10-31,Transfer,Cost friend imagine but house.,1352.99
43987,2021-06-01,Payment,Dog growth hand happy small deep.,648.08
43987,2023-03-02,Deposit,Boy power way short enter final.,-235.75
43987,2023-06-16,Payment,Radio tough responsibility second.,1548.11
43987,2021-02-18,Deposit,Trade rich industry determine nation bring.,1466.67
43987,2024-06-17,Payment,Thing someone degree miss trip.,818.63
43987,2022-02-16,Fee,Way laugh great week hundred.,1340.39
43987,2022-12-11,Deposit,Save doctor oil land this.,-368.58
43987,2024-11-25,Deposit,Indicate north bit second.,-19.3
43987,2020-07-31,Fee,Usually in fall market election.,-1441.04
43987,2020-08-05,Withdrawal,Pass subject oil.,317.91
43987,2024-06-10,Deposit,Start table computer.,-354.87
43987,2023-08-04,Payment,Method true bad family though clearly.,-851.11
43987,2022-06-30,Fee,Protect answer big thus national.,-1956.79
43987,2020-10-14,Transfer,Million charge across.,941.12
43987,2020-12-22,Payment,Free culture against serve suggest pass.,1344.63
43987,2021-06-30,Fee,Discuss hit station.,-510.16
156,2024-11-11,Transfer,Old activity meet least season.,-632.18
156,2025-02-26,Deposit,Plan military next understand see answer.,-891.3
156,2025-01-28,Deposit,Eye control wife miss.,-1974.67
156,2025-01-01,Payment,Wall political conference magazine.,520.5
156,2024-12-12,Fee,Want manage tell recognize.,-1934.43
156,2025-02-20,Payment,Smile away ground.,-1726.07
156,2025-02-16,Transfer,Special PM employee strategy political.,-1016.84
5245,2023-01-27,Payment,Bit seek catch against wonder race.,1586.04
5245,2022-07-28,Withdrawal,Next know side.,858.81
5245,2024-04-08,Payment,Buy book public.,59.48
5245,2023-08-26,Withdrawal,Experience value risk real respond.,-1751.55
5245,2021-05-14,Fee,Those theory fire nearly.,-1255.43
5245,2021-06-05,Withdrawal,Culture clearly interest.,-336.91
5245,2022-07-16,Transfer,Expect politics exactly mouth partner.,1050.13
5245,2023-10-03,Transfer,Pressure travel drive.,487.98
